"idproducto","idestado","idpdestacado","nombre","urlamigable","contenido","urlimagen","orden","fecha"
"53","135","39","Instrumentos De Ensayo","instrumentos-de-ensayo","Contamos con:<div><ul><li>BALÓN  FONDO REDONDO BORO3.3&nbsp;</li><li>BALON  FONDO PLANO BORO3.3&nbsp;</li><li>FIOLA DE VIDRIO</li><li>FIOLA DE VIDRIO CON TAPA PLÁSTICO</li><li><span style=""background-color: transparent; font-size: 0.875rem;"">MATRAZ</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">PIPETA GRADUADA</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">PIPETA SEROLÓGICA</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">PROBETA BASE HEXAGONAL</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">VASO FORMA BAJA</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">VASO PRECIPITADO</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">BURBUJEADOR</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">FRASCO ESTÉRIL TAPA AZUL</span></li></ul></div>","53-instrumentos-de-ensayo.jpg","53","2022-07-23 11:19:18"
"54","135","39","CHEMFLOX-FI","chemflox-fi","Producto sólido granulado coagulante, clarificante de aguas turbias superficiales. Con agentes reguladores de pH.","54-chemflox-fi.jpg","54","2022-07-23 11:19:18"
"56","135","39","POLIFLOC-FPL","polifloc-fpl","Producto líquido viscoso, elaborado a base de polímeros orgánicos- Poliacrilatos Aniónicos. Empleado como auxiliar de coagulación - floculación en la clarificación de aguas turbias superficiales.","56-polifloc-fpl.jpg","56","2022-07-23 11:19:18"
"57","135","39","HIPOCLORITO DE CALCIO GRANULADO","hipoclorito-de-calcio-granulado","Hipoclorito de calcio al 65-70% de concentración.","57-hipoclorito-de-calcio-granulado.png","57","2022-07-23 11:19:18"
"59","135","39","Desinfectante a base de cloro y dioxido de clor -DIOXICHLOR-SDQ","desinfectante-a-base-de-cloro-y-dioxido-de-clor-dioxichlor-sdq","Producto líquido formulado a base de DIOXIDO DE CLORO estabilizado, con HIPOCLORITOS de alta concentración. El producto resultante es un líquido homogéneo y de fácil compatibilidad con el agua cruda, y tiene un poder desinfectante mucho mayor que los hipocloritos de sodio o de calcio","59-desinfectante-a-base-de-cloro-y-dioxido-de-clor-dioxichlor-sdq.png","59","2022-07-23 11:19:18"
"60","135","39","Removedor de incrustaciones -SANICLEAN-SDQ","removedor-de-incrustaciones-saniclean-sdq","Producto líquido remover de cemento, grasa, óxidos, sarro, incrustaciones calcáreas, hongos mohos, algas calcinadas y cualquier otro tipo de contaminante acumulado en determinada superficie.","60-saniclean.png","60","2022-07-23 11:19:18"
"61","135","39","Abrillantador de acero inoxidable -BRILTPHOS","abrillantador-de-acero-inoxidable-briltphos","Producto líquido limpiador, desengrasante, desoxidante y abrillantador de todo material en acero inoxidable.","61-briltphos.png","61","2022-07-23 11:19:18"
"62","135","39","Detergente no cáustico de baja espuma -DETERFLASH-SDQ","detergente-no-caustico-de-baja-espuma-deterflash-sdq","Detergente líquido, no caústico, removedor de suciedad y bactericida, especial para el lavado de botellones de policarbonato, polietileno y similares en máquina lavadoras. ENVASE x 35 KILOS","62-deterflash-detergente-no-caustico-de-baja-espuma.png","62","2022-07-23 11:19:18"
"64","135","39","Dióxido de cloro al 10% -DIO-CHLOR-10%","dioxido-de-cloro-al-10-dio-chlor-10","Es una solución de Dióxido de Cloro Estabilizado al 5 % de concentración.","64-dioxido-de-cloro-al-10-dioxichlor-100dc.png","64","2022-07-23 11:19:18"
"65","135","39","Dioxido de cloro al 5% -DIO-CHLOR 5%","dioxido-de-cloro-al-5-dio-chlor-5","Es una solución de Dióxido de Cloro Estabilizado al 5 % de concentración.","65-dioxido-de-cloro-al-5-dioxichlor-50dc.png","65","2022-07-23 11:19:18"
"66","135","39","Desinfectante a base de peróxido de hidrogeno y iones de plata -BIOPEROXI-DPH","desinfectante-a-base-de-peroxido-de-hidrogeno-y-iones-de-plata-bioperoxi-dph","Poderoso desinfectante, bactericida, germicida y fungicida de amplio espectro, formulado a base de Peróxidos, así como iones de Plata (Ag+), donde el Peróxido de Hidrógeno es el más influyente (H2O2). Tiene una alta concentración y es muy activo contra los microorganismos patógenos diversos. ENVASE x 20 y 35 KILOS","66-bioperoxi-dph.png","66","2022-07-23 11:19:18"
"67","135","39","Ácido Peracético al 15% -PROXITANE-15AP","cido-peracetico-al-15-proxitane-15ap","Ácido Peracético al 15%","67-proxitane-15ap.png","67","2022-07-23 11:19:18"
"68","135","39","PEROXIDIAL","peroxidial","Producto líquido de gran acción desinfectante, bactericida, germicida, fungicida y virucida. El producto está formulado a base de Ácido Peracético, Peróxido de Hidrógeno y Ácido Acético.","68-peroxidial.jpg","68","2022-07-23 11:19:18"
"69","135","39","Abrillantador de envases plásticos -BRILTPLAST","abrillantador-de-envases-plasticos-briltplast","Producto líquido abrillantador de envases plásticos PET, PVC o policarbonato donde se almacena y traslada agua de mesa para consumo humano. ENVASE x 1.00 y 5.00 Galones","69-abrillantador-de-envases-plasticos-briltplast.png","69","2022-07-23 11:19:18"
"70","135","39","Antiincrustante de uso continuo -OSMO-PLUSS 0100","antiincrustante-de-uso-continuo-osmo-pluss-0100","Es un anti-incrustante, que se utiliza en los sistemas de Ósmosis Inversa, para mantener en suspensión las sales de carbonato de calcio y de magnesio, hidróxidos metálicos y sales de metales pesados que contiene el agua, evitando que estas se depositen sobre la superficie de las membranas, las cuales causarían incrustaciones y como tal reducción en la cantidad y calidad de agua como producto. ENVASE x 1.00 Galon y 23 Kilos","70-osmo-pluss-0100-antiincrustante-de-uso-continuo.png","70","2022-07-23 11:19:18"
"71","135","39","Desincrustante de raíz ácida suave -DESINCRUST-OMS","desincrustante-de-raiz-acida-suave-desincrust-oms","Producto líquido de raíz ácida. Se utiliza para realizar una limpieza química de desincrustación y remoción de sales y materia orgánica de las membranas osmóticas, con la finalidad de mantenerlas en buen estado de operación y conservarlas por largos periodos. ENVASE x 1.00 y 5.00 Galones","71-desincrustante-de-raiz-acida-suave-desincrust-oms.png","71","2022-07-23 11:19:18"
"72","135","39","Limpiador alcalino removedor de materia orgánica -OSMOKAL-SDQ","limpiador-alcalino-removedor-de-materia-organica-osmokal-sdq","Producto líquido alcalino. Se emplea en la limpieza profunda de las membranas de los equipos de Ósmosis Inversa, en un segundo paso. Para una limpieza normal de membranas, emplear una solución al 2 % del producto, preparado con agua osmotizada. ENVASE x 1.00 y 5.00 Galones","72-osmokal-limpiador-alcalino-removedor-de-materia-organica.png","72","2022-07-23 11:19:18"
"74","135","39","HIPOCLORITO DE SODIO AL 7.5%","hipoclorito-de-sodio-al-75","Hipoclorito de sodio al 7.5% de concentración.","74-hipoclorito-de-sodio.png","74","2022-07-23 11:19:18"
"80","135","39","REDOX-RPH","redox-rph","Producto líquido reductor del pH en aguas. Formulado a base de sales ácidas y fosfonatos ácidos, y cumple la función de neutralizar y regular el pH de soluciones acuosas de tendencia alcalina.","80-redox-rph.jpg","80","2022-07-23 11:19:18"
"81","135","39","ALKA-PH","alka-ph","Producto líquido elevador del pH en aguas. Formulado a base de sales alcalinas, de fácil manejo, indispensable para un óptimo tratamiento de agua y para evitar las molestias debidas a desajustes del pH. Permite aumentar y regular el pH del agua cuando este sea inferior al rango de 7.0 –7.5.","81-alka-ph.jpg","81","2022-07-23 11:19:18"
"82","135","39","ALGISINT-25AC","algisint-25ac","Producto líquido empleado para el control de algas. Formulada a base de sales de amonio cuaternario de “primera generación”, el cual tiene un gran poder germicida sobre una amplia variedad de microorganismos, bacterias, hongos, algas y virus.","82-algisint-25ac.jpg","82","2022-07-23 11:19:18"
"83","135","39","CLARIFIER-CAP","clarifier-cap","Producto líquido viscoso tipo gel, elaborado a base de polímeros orgánicos – Poliacrilatos aniónicos, disuelto en agua. Al emplearlo en la dosificación recomendada, tiene una acción muy rápida y eficaz de floculación, sedimentación y clarificación de la turbidez del agua","83-clarifier-cap.jpg","83","2022-07-23 11:19:18"
"85","135","39","Plantas embotelladoras de agua de mesa","plantas-embotelladoras-de-agua-de-mesa","<div><strong>Plantas Embotelladoras de agua de mesa</strong> consta de un sistema de equipos y complementos para el envasado de agua; asimismo, incluye accesorios de filtración y purificación que genera agua de la más alta calidad. Ofrecemos plantas de tratamiento de agua para las personas que deseen incursionar en el negocio de la venta de agua embotellada.</div><div><br></div><div>Para la implementación de una <strong>planta embotelladora de agua de mesa</strong> es necesario un sistema completo para el proceso de esterilización y filtración, tubos de silicona anti bacteriales, osmosis inversa y procesos complementarios.</div><div><br></div><div>Contamos con accesorios y repuestos para implementar y dar mantenimiento a tus plantas. Como membranas, osmosis inversa, filtros Hydronix, equipos generadores de ozono y más.</div>","85-plantas-embotelladoras-de-agua-de-mesa.jpg","1","2022-09-01 11:43:37"
"86","135","39","Sistema de ósmosis inversa industrial","sistema-de-osmosis-inversa-industrial","<strong>El sistema de ósmosis inversa industrial</strong> se basa en un proceso físico de separación, utiliza una membrana capaz de rechazar sólidos disueltos del agua. De esta forma, permite obtener un agua pura, libre de todo tipo de contaminante orgánico e inorgánico.<div><div><ul><li>Permite remover la mayoría de los sólidos (inorgánicos u orgánicos) disueltos en el agua (hasta el 99%).</li><li>Remueve los materiales suspendidos y microorganismos.</li><li>Realiza el proceso de purificación en una sola etapa y en forma continua.</li><li>Es una tecnología extremadamente simple que no requiere de mucho mantenimiento y puede operarse con personal no especializado.</li><li>El proceso se realiza sin cambio de fase, consiguiendo ahorro de energía.</li><li>Es modular y necesita poco espacio, lo que le confiere una versatilidad excepcional en cuanto al tamaño de las plantas: desde 1 m3/día, a 1,000,000 m3/día.</li></ul></div></div>","86-sistema-de-osmosis-inversa-industrial.jpg","2","2022-09-01 11:53:44"
"87","135","40","Detergente alcalino desengrasante - DETERGRAS","detergente-alcalino-desengrasante-detergras","<span style=""color: rgb(47, 47, 47); font-family: Roboto, sans-serif; font-size: 16px;"">Detergente líquido alcalino desengrasante, empleado en el lavado de forma MANUAL tanto interno como externo de botellones de policarbonato y polietileno. Presentación: ENVASE x 30 KILOS</span>","87-detergente-alcalino-desengrasante-detergras.png","63","2023-08-31 16:23:51"
